_id,Year,FSA,ANIMAL_TYPE,PRIMARY_BREED
376,2025,M6G,CAT,DOMESTIC SH
377,2024,M2K,CAT,DOMESTIC SH
378,2024,M4S,CAT,AMER SH
379,2024,M8Y,CAT,DOMESTIC MH
380,2024,M1N,CAT,DOMESTIC MH
381,2023,M6E,CAT,DOMESTIC SH
382,2023,M2N,CAT,SIAMESE
383,2025,M1N,DOG,BASENJI
384,2024,M1N,CAT,DOMESTIC SH
385,2025,M6P,CAT,DOMESTIC LH
386,2023,M6B,DOG,POODLE MIN
387,2023,M1N,DOG,POODLE MIN
388,2023,M2J,DOG,WEST HIGHLAND
389,2024,M4M,CAT,DOMESTIC SH
390,2024,M4M,CAT,DOMESTIC SH
391,2023,M4M,CAT,DOMESTIC LH
392,2025,M4J,CAT,DOMESTIC MH
393,2024,M4B,CAT,DOMESTIC SH
394,2024,M9B,CAT,DOMESTIC SH
395,2023,M1H,CAT,DOMESTIC SH
396,2024,M1N,CAT,DOMESTIC SH
397,2023,M9C,CAT,DOMESTIC SH
398,2023,M1V,DOG,MALTESE
399,2025,M1S,CAT,DOMESTIC SH
400,2023,M4K,CAT,DOMESTIC MH
401,2023,M6R,CAT,DOMESTIC SH
402,2024,M6N,CAT,DOMESTIC SH
403,2023,M2J,CAT,DOMESTIC SH
404,2024,M1E,CAT,DOMESTIC SH
405,2023,M4E,CAT,RAGDOLL
406,2024,M4C,DOG,PARSON RUSS TER
407,2023,M4J,CAT,DOMESTIC SH
408,2023,M8V,CAT,HIMALAYAN
409,2023,M1E,DOG,POODLE MIN
410,2023,M6S,DOG,COTON DE TULEAR
411,2023,M1G,CAT,DOMESTIC MH
412,2023,M5N,CAT,DOMESTIC SH
413,2025,M4J,CAT,DOMESTIC SH
414,2025,M4J,CAT,DOMESTIC SH
415,2023,M4G,CAT,DOMESTIC SH
416,2023,M4R,CAT,DOMESTIC SH
417,2025,M5V,CAT,DOMESTIC SH
418,2024,M5M,CAT,DOMESTIC SH
419,2023,M5R,DOG,MALTESE
420,2023,M9A,CAT,DOMESTIC SH
421,2023,M4B,CAT,DOMESTIC SH
422,2023,M1C,CAT,DOMESTIC SH
423,2025,M6S,CAT,DOMESTIC SH
424,2023,M6S,DOG,YORKSHIRE TERR
425,2024,M2L,DOG,MALTESE
426,2024,M4Y,CAT,DOMESTIC SH
427,2024,M3A,CAT,DOMESTIC SH
428,2023,M4L,CAT,SIAMESE
429,2023,M8V,CAT,DOMESTIC SH
430,2023,M8V,CAT,DOMESTIC SH
431,2023,M4P,DOG,POODLE TOY
432,2023,M1E,DOG,WEST HIGHLAND
433,2024,M9M,CAT,DOMESTIC SH
434,2023,M4S,DOG,SHIH TZU
435,2023,M4C,CAT,DOMESTIC LH
436,2023,M4L,CAT,DOMESTIC SH
437,2023,M4J,CAT,DOMESTIC SH
438,2023,M5P,DOG,PARSON RUSS TER
439,2023,M5R,DOG,PUG
440,2023,M9R,CAT,DOMESTIC SH
441,2023,M4S,DOG,BICHON FRISE
442,2024,M4M,CAT,DOMESTIC SH
443,2023,M1W,CAT,MANX
444,2024,M3A,CAT,DOMESTIC SH
445,2024,M6C,DOG,CAIRN TERRIER
446,2023,M3B,CAT,DOMESTIC SH
447,2023,M4J,DOG,YORKSHIRE TERR
448,2024,M6P,CAT,PERSIAN
449,2023,M8V,DOG,SHIH TZU
450,2023,M6L,DOG,CHIHUAHUA SH
451,2024,M1V,CAT,DOMESTIC SH
452,2024,M4E,CAT,DOMESTIC MH
453,2023,M1T,DOG,POODLE TOY
454,2023,M2N,CAT,DOMESTIC SH
455,2023,M9C,CAT,DOMESTIC LH
456,2024,M8Y,DOG,YORKSHIRE TERR
457,2025,M8W,DOG,AFFENPINSCHER
458,2023,M8W,DOG,AFFENPINSCHER
459,2025,M8W,DOG,AFFENPINSCHER
460,2024,M6K,DOG,YORKSHIRE TERR
461,2023,M4V,DOG,CHIHUAHUA SH
462,2024,M1P,CAT,DOMESTIC LH
463,2023,M6G,CAT,SIAMESE
464,2023,M1N,CAT,DOMESTIC LH
465,2024,M2L,DOG,LHASA APSO
466,2023,M5M,CAT,DOMESTIC SH
467,2024,M4C,CAT,DOMESTIC SH
468,2023,M1L,CAT,DOMESTIC SH
469,2023,M6S,DOG,YORKSHIRE TERR
470,2023,M9A,DOG,SCOT TERRIER
471,2023,M6L,DOG,AMER ESKIMO
472,2023,M4S,DOG,SCHNAUZER MIN
473,2023,M1R,DOG,CHIHUAHUA SH
474,2023,M9B,CAT,DOMESTIC SH
475,2024,M9B,CAT,DOMESTIC MH
476,2024,M1R,CAT,DOMESTIC SH
477,2023,M1S,DOG,SCHNAUZER MIN
478,2025,M2N,CAT,DOMESTIC LH
479,2023,M9C,CAT,DOMESTIC SH
480,2023,M4M,CAT,DOMESTIC LH
481,2023,M6C,DOG,HAVANESE
482,2023,M1C,CAT,DOMESTIC SH
483,2024,M6N,DOG,YORKSHIRE TERR
484,2023,M4M,CAT,DOMESTIC SH
485,2024,M4M,CAT,DOMESTIC SH
486,2023,M4J,DOG,WEST HIGHLAND
487,2024,M3M,DOG,SHIH TZU
488,2023,M4S,DOG,YORKSHIRE TERR
489,2025,M3A,CAT,DOMESTIC LH
490,2024,M4K,CAT,DOMESTIC SH
491,2023,M1S,CAT,DOMESTIC SH
492,2023,M1S,CAT,DOMESTIC SH
493,2023,M1P,CAT,DOMESTIC SH
494,2024,M8V,CAT,DOMESTIC SH
495,2023,M4N,DOG,COTON DE TULEAR
496,2024,M4C,CAT,DOMESTIC SH
497,2024,M9A,DOG,SHIH TZU
498,2023,M4X,CAT,DOMESTIC SH
499,2024,M9B,CAT,DOMESTIC SH
500,2023,M9A,CAT,DOMESTIC MH
501,2023,M2J,DOG,BASSET HOUND
502,2023,M4L,DOG,LABRADOR RETR
503,2023,M5R,CAT,DOMESTIC SH
504,2023,M2R,CAT,DOMESTIC SH
505,2025,M1N,DOG,SHIH TZU
506,2023,M9C,CAT,DOMESTIC LH
